cs_br_concentration,pb_br2_concentration,temperature,oa_concentration,oam_concentration,reaction_time,solvent_type,stoichiometry_valid,concentration_valid,ligand_valid,physics_failure_prob,bandgap,plqy,emission_peak,particle_size,emission_fwhm,lifetime,stability_score,phase_purity,phase_label
1.800578,1.330094,157.382004,0.228633,0.296398,12.937430,0,True,False,True,0.300000,2.220204,0.086318,452.449951,9.840436,36.773006,7.801517,0.563514,0.572187,3
1.736965,0.314291,204.086136,0.157616,0.577238,57.433758,0,False,False,True,0.600000,2.320296,0.426948,480.680756,11.014526,39.562317,10.452899,0.297537,0.614890,2
1.193184,0.735025,149.561676,0.029317,0.065939,13.899090,4,True,False,True,0.300000,2054904.375000,0.837745,-205489696.000000,4.970700,45.492981,26.366037,0.799194,0.921082,1
1.727507,0.911092,204.318924,0.621858,0.596892,43.433697,2,True,False,True,0.300000,2.437522,0.670234,508.808685,7.163753,49.511707,9.986033,0.350807,0.841455,2
2.257593,1.118556,157.180206,0.206796,1.358006,42.044041,0,True,False,True,0.300000,2.304317,0.619954,507.095001,28.576168,34.335701,13.382022,0.967632,0.630334,0
1.719928,1.617222,161.900497,0.554241,0.318871,50.206921,3,True,False,True,0.300000,2.128530,0.019787,453.994965,20.343859,38.090038,6.348448,0.576716,0.667272,3
2.100758,1.690259,151.088852,0.448432,0.388490,5.874289,4,True,False,True,0.300000,2.039530,0.124244,467.377258,20.370302,35.598927,6.103973,0.682624,0.567686,3
1.967646,1.326641,204.796051,0.044583,0.484782,57.402134,4,True,False,True,0.300000,2.020484,0.116607,492.279907,9.797694,38.786755,6.035785,0.413623,0.696505,3
1.084803,1.261042,198.616211,0.000545,0.225228,44.300343,0,True,False,True,0.300000,2.300276,0.484109,527.105347,28.512762,29.046373,13.635781,0.639787,0.975414,0
1.214292,1.209151,121.233498,0.701065,0.061111,2.167827,0,True,False,True,0.300000,2.240761,0.077869,514.895447,14.689701,37.779293,8.098763,0.491286,0.636603,3
3.000000,0.594102,166.113266,0.633632,0.413359,40.019733,0,False,False,True,0.600000,2.492846,0.493100,531.715210,10.261975,42.533386,4.483646,0.557349,0.980113,2
1.541985,0.624218,99.188530,1.311145,0.833602,59.693726,1,True,False,True,0.300000,2.191825,0.082443,537.932129,19.521069,36.673443,8.397022,0.332398,0.936504,3
1.896358,0.700955,134.761078,0.308891,0.844136,23.837700,2,True,False,True,0.300000,2.455871,0.500301,539.969788,9.167777,46.895611,9.142692,0.491484,0.688774,2
1.005339,1.050573,160.268158,0.436563,0.725317,16.647789,2,True,False,True,0.300000,2.326478,0.223251,524.018494,15.208375,35.767185,9.027022,0.554455,0.889018,3
2.002719,0.563986,192.846130,0.224923,0.072831,50.858768,2,False,False,True,0.600000,196.483307,0.921893,-18897.705078,2.494854,68.348167,22.785883,0.505266,0.920158,1
0.752400,0.876221,171.870819,0.073029,0.819164,10.237836,2,True,False,True,0.300000,2.122744,0.042144,534.078735,16.248049,37.186100,9.186927,0.560795,0.766234,3
1.025472,0.949120,183.930267,0.255623,0.142355,8.215520,0,True,False,True,0.300000,2.351303,0.107591,472.944885,7.513916,40.357342,6.880404,0.518419,0.912562,3
2.205469,2.000000,120.739586,0.174788,0.497622,24.861107,1,True,False,True,0.300000,9.930781,0.968385,-227.695129,6.784458,37.974022,20.894375,0.704732,0.857296,1
1.139486,1.450911,155.288879,0.362891,0.585874,22.384911,0,True,False,True,0.300000,2.290592,0.286528,560.695984,21.647289,26.951450,8.934066,0.515718,0.687178,3
1.597694,0.559014,197.428497,0.197225,0.814461,8.734862,2,True,False,True,0.300000,2.419775,0.684097,494.140625,9.031279,47.906963,5.956491,0.376232,0.840405,2
1.760392,0.504678,135.394272,0.091228,0.001881,54.281467,1,False,False,True,0.600000,168.008408,0.902726,-16054.163086,5.626145,48.815529,28.856443,0.784499,0.732899,1
2.864763,1.181273,160.889114,0.259332,0.360392,46.606186,0,True,False,True,0.300000,2.356798,0.539372,517.104492,11.804374,39.991692,12.462563,0.643796,0.791657,2
2.408303,1.581429,171.917603,1.500000,1.348827,44.990452,1,True,False,False,0.600000,2.296213,0.746309,519.896851,29.341549,36.769070,17.925858,0.887564,0.945270,0
1.398090,0.870678,190.821289,0.743402,1.132789,19.760471,3,True,False,True,0.300000,2.306814,0.572647,524.547546,24.956726,30.868006,13.026640,0.669121,0.660170,0
0.442304,1.388358,214.206741,0.188418,0.273223,50.051689,1,False,False,True,0.600000,2.307478,0.432544,507.214508,29.054203,29.024584,18.872379,0.410036,0.678130,0
0.951008,1.781134,149.406937,0.015687,0.371422,23.855679,4,True,False,True,0.300000,2.307417,0.719403,522.424133,23.609818,32.653149,14.726197,0.980290,0.843965,0
1.688591,1.962528,174.845474,0.034467,0.652159,33.368393,2,True,False,True,0.300000,2.297928,0.644659,505.201050,25.048443,33.943050,14.019106,0.812524,0.574168,0
2.786495,0.412461,160.990982,0.162619,0.093000,59.371624,3,False,False,True,0.600000,2.333450,0.273632,533.265808,22.088709,30.996117,4.820215,0.626869,0.647262,3
