cs_br_concentration,pb_br2_concentration,temperature,oa_concentration,oam_concentration,reaction_time,solvent_type,bandgap,plqy,emission_peak,particle_size,emission_fwhm,lifetime,stability_score,phase_purity
2.466726,1.187907,175.414703,0.702069,1.204157,46.458431,1,2.364375,0.132898,511.673309,5.000007,44.397964,5.921876,0.492313,0.500000
0.412312,1.632498,165.428192,0.844108,0.704403,21.946665,2,2.367372,0.119698,517.424683,5.000002,42.437084,7.081681,0.721130,0.649017
2.546719,0.806760,158.175354,0.141802,0.832117,46.667736,0,2.369547,0.056451,518.299011,5.000004,49.022858,9.438595,0.096415,0.500000
0.259375,1.482899,141.455597,0.764649,1.244111,8.346057,3,2.374563,0.149449,512.659973,5.000000,42.885040,5.625933,0.701182,0.631064
0.723586,1.433087,236.748322,0.673212,0.518801,58.263050,1,2.345974,0.248629,507.322449,5.000044,41.153252,8.463477,0.196399,0.500000
1.586345,1.540276,119.520416,0.956071,0.359229,16.894951,1,2.381144,0.464991,516.006226,5.000000,40.004471,7.957517,0.830068,0.747061
0.398287,0.756043,211.410278,0.325101,1.146675,43.410187,4,2.353576,0.213019,511.075714,5.000018,41.059101,7.358664,0.420546,0.500000
1.683183,1.555594,238.470642,0.827665,0.423890,35.554462,0,2.345458,0.320271,512.253967,5.000028,40.033466,8.215223,0.208300,0.500000
2.838189,1.643588,191.730545,0.068453,0.080917,58.066936,1,2.359480,0.541619,522.358521,5.000014,42.321262,14.254628,0.542035,0.500000
1.858010,1.754063,130.983536,0.330443,0.328584,24.836699,0,2.377705,0.815034,517.682190,5.000001,40.017540,11.048039,0.928596,0.928596
1.087560,1.177898,203.236771,0.827763,1.300770,38.176891,4,2.356029,0.159721,515.759644,5.000012,40.029316,5.298905,0.565655,0.509089
1.344546,0.797033,196.810043,0.090675,0.761478,14.530620,0,2.357957,0.407956,515.427124,5.000004,42.101730,10.031097,0.509574,0.509574
0.980466,0.482416,184.027985,0.179249,1.313011,13.665150,1,2.361792,0.175742,512.557068,5.000003,44.131187,7.283683,0.465560,0.500000
1.273634,1.412913,114.334038,0.026909,0.283482,45.551579,4,2.382700,0.835572,517.687378,5.000001,40.048466,13.151964,0.771614,0.694453
0.404763,0.745206,93.400810,0.453077,0.864577,28.065540,3,2.388980,0.381456,523.674194,5.000000,40.990929,7.948153,0.474712,0.500000
1.109426,1.060950,144.157791,1.040476,0.976899,22.810621,2,2.373753,0.128642,510.961609,5.000001,40.010429,5.601749,0.992161,0.892945
