cs_br_concentration,pb_br2_concentration,temperature,oa_concentration,oam_concentration,reaction_time,solvent_type,bandgap,plqy,emission_peak,particle_size,emission_fwhm,lifetime,stability_score,phase_purity
1.881680,1.791559,147.130142,0.271817,0.465396,60.000000,1,2.372861,0.594989,509.145294,5.000004,40.012630,10.624475,0.997092,0.897383
1.777092,1.155599,153.787064,0.000000,0.122818,43.558926,1,2.370864,0.751070,511.573700,5.000003,41.346478,14.445135,0.862872,0.776585
1.950576,1.744489,127.424591,0.331654,0.045639,35.133335,0,2.378772,0.995878,511.127380,5.000001,40.069534,12.719296,0.896813,0.896813
2.227607,1.928846,174.428848,0.138198,0.000000,50.480225,3,2.364671,0.612481,513.365784,5.000007,40.119209,14.334481,0.876911,0.789220
2.601658,1.924157,140.163437,0.220788,0.013129,45.126629,0,2.374951,0.973117,513.457764,5.000002,40.601051,13.664594,0.921880,0.921880
1.966269,2.000000,123.806847,0.562462,0.071620,60.000000,0,2.379858,0.860365,516.728577,5.000001,40.001415,11.186700,0.871658,0.871658
2.577274,1.864637,152.254089,0.185546,0.000000,36.850723,4,2.371324,0.701746,526.069824,5.000003,40.704288,13.999108,0.928626,0.835763
2.135204,2.000000,174.178848,0.630466,0.000000,60.000000,0,2.364746,0.668987,517.605469,5.000009,40.022789,11.206944,0.887623,0.887623
2.846153,1.556975,124.434456,0.109068,0.274108,54.197746,0,2.379670,0.719703,519.192017,5.000001,42.902142,12.681936,0.622811,0.622811
1.243849,1.712127,118.552895,0.290483,0.340266,60.000000,4,2.381434,0.639640,510.846039,5.000001,40.367115,11.205359,0.790423,0.711381
2.173776,1.746193,155.721207,0.110074,0.401685,57.222176,3,2.370284,0.514930,512.634460,5.000005,40.295330,11.892252,0.964133,0.867720
2.289678,1.979692,130.897369,0.258989,0.000000,60.000000,1,2.377731,0.877896,517.897278,5.000002,40.121834,13.494368,0.918291,0.826462
1.697872,1.808526,150.502533,0.371212,0.200037,53.457993,4,2.371849,0.587782,509.990356,5.000004,40.018684,11.543728,0.998080,0.898272
2.632098,2.000000,150.730759,0.505113,0.000000,53.650948,2,2.371781,0.324877,518.918396,5.000004,40.487156,11.931837,0.951181,0.856063
2.135199,1.982278,194.493378,0.578174,0.283307,49.350441,1,2.358652,0.431458,512.208862,5.000013,40.029659,9.984420,0.671053,0.603947
2.009746,1.539367,130.229767,0.292707,0.319347,60.000000,1,2.377931,0.672541,510.110199,5.000002,40.456116,11.310592,0.882622,0.794360
2.571931,1.758064,185.735718,0.613613,0.007663,51.056885,1,2.361279,0.476714,520.111816,5.000010,41.016087,11.258553,0.695891,0.626302
2.014910,2.000000,113.683998,0.333226,0.019977,60.000000,0,2.382895,1.000000,508.411713,5.000001,40.000275,12.873424,0.768129,0.768129
2.582275,1.978823,158.912598,0.317605,0.094154,38.887630,3,2.369326,0.532840,513.855774,5.000003,40.454330,12.501984,0.939520,0.845568
1.607635,1.570758,141.687500,0.149879,0.000000,60.000000,0,2.374494,1.000000,509.768341,5.000003,40.002743,14.251003,0.986004,0.986004
2.707841,1.588207,179.225677,0.539368,0.116009,45.812881,0,2.363232,0.501558,513.814880,5.000008,42.200188,11.068223,0.657495,0.657495
2.422346,2.000000,119.637627,0.529370,0.027655,60.000000,0,2.381109,0.904534,524.354004,5.000001,40.220497,11.626118,0.813287,0.813287
1.913395,1.832814,154.107834,0.374983,0.191804,52.942066,4,2.370768,0.579525,520.531616,5.000004,40.009644,11.569512,0.995668,0.896101
2.214869,1.976955,134.731674,0.100764,0.383707,58.260464,1,2.376580,0.744753,522.821472,5.000002,40.072144,12.055623,0.947559,0.852803
1.972239,1.696553,183.852814,0.602278,0.223822,53.807987,0,2.361844,0.553385,521.560913,5.000010,40.131119,10.162621,0.784738,0.784738
2.145666,2.000000,121.887283,0.648303,0.009393,46.870178,0,2.380434,0.852951,522.013428,5.000001,40.026485,11.055397,0.851533,0.851533
1.604167,1.878275,122.144539,0.222345,0.438332,60.000000,0,2.380357,0.843392,516.261963,5.000001,40.105915,11.038929,0.847187,0.847187
1.586272,2.000000,116.021935,0.352870,0.201855,58.309803,3,2.382193,0.615520,510.004242,5.000001,40.211685,11.639495,0.777013,0.699312
1.878022,1.649507,155.120224,0.396823,0.356040,60.000000,1,2.370464,0.561060,519.072144,5.000005,40.095482,10.541659,0.985270,0.886743
1.421348,1.572397,173.733810,0.354596,0.149661,45.675198,3,2.364880,0.485091,526.133911,5.000007,40.046009,11.936947,0.889343,0.800408
2.027232,2.000000,166.464523,0.323026,0.071514,46.660336,0,2.367060,0.815509,522.420715,5.000005,40.000904,12.610081,0.947140,0.947140
2.199547,1.735244,156.519684,0.179437,0.020652,44.712574,0,2.370044,0.941493,515.114380,5.000004,40.351627,13.897686,0.956668,0.956668
